workerid,proliferate.condition,audio_stall,error
182,10,no,
318,10,no,
362,5,no,
240,5,no,
288,5,no,
272,5,no,
312,5,some,
209,5,no,
232,5,no,
264,5,no,
178,5,no,
342,5,no,
256,5,no,
201,5,no,
225,5,no,
304,5,no,
360,5,no,
217,8,no,
303,8,no,
255,8,no,
263,8,some,
331,8,no,
247,8,no,
200,8,no,
271,8,no,
224,8,no,
177,8,no,
353,8,no,
358,8,no,
208,8,no,
239,8,no,
308,4,no,
284,4,no,
300,4,no,
345,4,no,
205,4,no,
188,4,no,
268,4,no,
214,4,no,
252,4,no,
338,4,no,
276,4,no,
229,4,some,
221,4,no,
316,4,no,
307,3,no,
275,3,no,
259,3,no,
196,3,no,
346,3,no,
251,3,no,
220,3,no,
228,3,no,
235,3,no,
299,3,no,
243,3,no,
204,3,no,
315,3,no,
267,3,no,
283,3,no,
291,3,no,
213,3,no,
250,2,no,
227,2,no,
314,2,no,
282,2,no,
290,2,no,
203,2,no,
347,2,no,
298,2,no,
274,2,no,
193,2,no,
306,2,no,
266,2,no,
344,2,no,
212,2,no,
199,1,no,
206,1,no,
285,1,no,
293,1,no,
230,1,no,
215,1,no,
269,1,no,
245,1,no,
309,1,no,
237,1,no,
317,1,no,
301,1,no,
222,1,no,
334,1,no,
351,1,no,
185,11,no,
325,16,no,
183,16,no,
328,16,no,
322,14,no,
187,14,no,
330,14,no,
180,15,no,
320,15,no,
192,15,no,
176,9,no,
321,9,no,
197,12,no,
324,12,some,
329,12,no,
184,12,no,
273,6,no,
305,6,no,
297,6,no,
281,6,no,
289,6,no,
354,6,no,
195,6,no,
265,6,no,
313,6,no,
219,6,no,
361,6,no,
359,6,no,
343,6,no,
233,6,no,
223,7,no,
335,7,no,
207,7,no,
190,7,no,
310,7,no,
278,7,no,
286,7,no,
179,7,no,
231,7,no,
246,7,no,
254,7,no,
294,7,no,
302,7,no,
262,7,no,
341,7,some,
