workerid,proliferate.condition,condition,error
182,10,H,
318,10,H,
362,5,M,
240,5,M,
288,5,M,
272,5,M,
312,5,M,
209,5,M,
232,5,M,
264,5,M,
178,5,M,
342,5,M,
256,5,M,
201,5,M,
225,5,M,
304,5,M,
360,5,M,
217,8,M,
303,8,M,
255,8,M,
263,8,M,
331,8,M,
247,8,M,
200,8,M,
271,8,M,
224,8,M,
177,8,M,
353,8,M,
358,8,M,
208,8,M,
239,8,M,
308,4,M,
284,4,M,
300,4,M,
345,4,M,
205,4,M,
188,4,M,
268,4,M,
214,4,M,
252,4,M,
338,4,M,
276,4,M,
229,4,M,
221,4,M,
316,4,M,
307,3,M,
275,3,M,
259,3,M,
196,3,M,
346,3,M,
251,3,M,
220,3,M,
228,3,M,
235,3,M,
299,3,M,
243,3,M,
204,3,M,
315,3,M,
267,3,M,
283,3,M,
291,3,M,
213,3,M,
250,2,M,
227,2,M,
314,2,M,
282,2,M,
290,2,M,
203,2,M,
347,2,M,
298,2,M,
274,2,M,
193,2,M,
306,2,M,
266,2,M,
344,2,M,
212,2,M,
199,1,M,
206,1,M,
285,1,M,
293,1,M,
230,1,M,
215,1,M,
269,1,M,
245,1,M,
309,1,M,
237,1,M,
317,1,M,
301,1,M,
222,1,M,
334,1,M,
351,1,M,
185,11,H,
325,16,H,
183,16,H,
328,16,H,
322,14,H,
187,14,H,
330,14,H,
180,15,H,
320,15,H,
192,15,H,
176,9,H,
321,9,H,
197,12,H,
324,12,H,
329,12,H,
184,12,H,
273,6,M,
305,6,M,
297,6,M,
281,6,M,
289,6,M,
354,6,M,
195,6,M,
265,6,M,
313,6,M,
219,6,M,
361,6,M,
359,6,M,
343,6,M,
233,6,M,
223,7,M,
335,7,M,
207,7,M,
190,7,M,
310,7,M,
278,7,M,
286,7,M,
179,7,M,
231,7,M,
246,7,M,
254,7,M,
294,7,M,
302,7,M,
262,7,M,
341,7,M,
