workerid,proliferate.condition,platform,error
182,10,prolific,
318,10,prolific,
362,5,prolific,
240,5,prolific,
288,5,prolific,
272,5,prolific,
312,5,prolific,
209,5,prolific,
232,5,prolific,
264,5,prolific,
178,5,prolific,
342,5,prolific,
256,5,prolific,
201,5,prolific,
225,5,prolific,
304,5,prolific,
360,5,prolific,
217,8,prolific,
303,8,prolific,
255,8,prolific,
263,8,prolific,
331,8,prolific,
247,8,prolific,
200,8,prolific,
271,8,prolific,
224,8,prolific,
177,8,prolific,
353,8,prolific,
358,8,prolific,
208,8,prolific,
239,8,prolific,
308,4,prolific,
284,4,prolific,
300,4,prolific,
345,4,prolific,
205,4,prolific,
188,4,prolific,
268,4,prolific,
214,4,prolific,
252,4,prolific,
338,4,prolific,
276,4,prolific,
229,4,prolific,
221,4,prolific,
316,4,prolific,
307,3,prolific,
275,3,prolific,
259,3,prolific,
196,3,prolific,
346,3,prolific,
251,3,prolific,
220,3,prolific,
228,3,prolific,
235,3,prolific,
299,3,prolific,
243,3,prolific,
204,3,prolific,
315,3,prolific,
267,3,prolific,
283,3,prolific,
291,3,prolific,
213,3,prolific,
250,2,prolific,
227,2,prolific,
314,2,prolific,
282,2,prolific,
290,2,prolific,
203,2,prolific,
347,2,prolific,
298,2,prolific,
274,2,prolific,
193,2,prolific,
306,2,prolific,
266,2,prolific,
344,2,prolific,
212,2,prolific,
199,1,prolific,
206,1,prolific,
285,1,prolific,
293,1,prolific,
230,1,prolific,
215,1,prolific,
269,1,prolific,
245,1,prolific,
309,1,prolific,
237,1,prolific,
317,1,prolific,
301,1,prolific,
222,1,prolific,
334,1,prolific,
351,1,prolific,
185,11,prolific,
325,16,prolific,
183,16,prolific,
328,16,prolific,
322,14,prolific,
187,14,prolific,
330,14,prolific,
180,15,prolific,
320,15,prolific,
192,15,prolific,
176,9,prolific,
321,9,prolific,
197,12,prolific,
324,12,prolific,
329,12,prolific,
184,12,prolific,
273,6,prolific,
305,6,prolific,
297,6,prolific,
281,6,prolific,
289,6,prolific,
354,6,prolific,
195,6,prolific,
265,6,prolific,
313,6,prolific,
219,6,prolific,
361,6,prolific,
359,6,prolific,
343,6,prolific,
233,6,prolific,
223,7,prolific,
335,7,prolific,
207,7,prolific,
190,7,prolific,
310,7,prolific,
278,7,prolific,
286,7,prolific,
179,7,prolific,
231,7,prolific,
246,7,prolific,
254,7,prolific,
294,7,prolific,
302,7,prolific,
262,7,prolific,
341,7,prolific,
