workerid,proliferate.condition,respKeyTest,error
182,10,1,
318,10,1,
362,5,0,
240,5,0,
288,5,0,
272,5,0,
312,5,0,
209,5,0,
232,5,0,
264,5,0,
178,5,0,
342,5,0,
256,5,0,
201,5,0,
225,5,0,
304,5,0,
360,5,0,
217,8,1,
303,8,1,
255,8,1,
263,8,1,
331,8,1,
247,8,1,
200,8,1,
271,8,1,
224,8,1,
177,8,1,
353,8,1,
358,8,1,
208,8,1,
239,8,1,
308,4,1,
284,4,1,
300,4,1,
345,4,1,
205,4,1,
188,4,1,
268,4,1,
214,4,1,
252,4,1,
338,4,1,
276,4,1,
229,4,1,
221,4,1,
316,4,1,
307,3,0,
275,3,0,
259,3,0,
196,3,0,
346,3,0,
251,3,0,
220,3,0,
228,3,0,
235,3,0,
299,3,0,
243,3,0,
204,3,0,
315,3,0,
267,3,0,
283,3,0,
291,3,0,
213,3,0,
250,2,1,
227,2,1,
314,2,1,
282,2,1,
290,2,1,
203,2,1,
347,2,1,
298,2,1,
274,2,1,
193,2,1,
306,2,1,
266,2,1,
344,2,1,
212,2,1,
199,1,0,
206,1,0,
285,1,0,
293,1,0,
230,1,0,
215,1,0,
269,1,0,
245,1,0,
309,1,0,
237,1,0,
317,1,0,
301,1,0,
222,1,0,
334,1,0,
351,1,0,
185,11,0,
325,16,1,
183,16,1,
328,16,1,
322,14,1,
187,14,1,
330,14,1,
180,15,0,
320,15,0,
192,15,0,
176,9,0,
321,9,0,
197,12,1,
324,12,1,
329,12,1,
184,12,1,
273,6,1,
305,6,1,
297,6,1,
281,6,1,
289,6,1,
354,6,1,
195,6,1,
265,6,1,
313,6,1,
219,6,1,
361,6,1,
359,6,1,
343,6,1,
233,6,1,
223,7,0,
335,7,0,
207,7,0,
190,7,0,
310,7,0,
278,7,0,
286,7,0,
179,7,0,
231,7,0,
246,7,0,
254,7,0,
294,7,0,
302,7,0,
262,7,0,
341,7,0,
