workerid,proliferate.condition,rsrb.ethnicity,error
182,10,NonHisp,
318,10,NonHisp,
362,5,NonHisp,
240,5,NonHisp,
288,5,NonHisp,
272,5,NonHisp,
312,5,NonHisp,
209,5,NonHisp,
232,5,NonHisp,
264,5,Hisp,
178,5,NonHisp,
342,5,NA,
256,5,NonHisp,
201,5,NonHisp,
225,5,NonHisp,
304,5,Hisp,
360,5,NonHisp,
217,8,NonHisp,
303,8,NonHisp,
255,8,NonHisp,
263,8,NonHisp,
331,8,NonHisp,
247,8,NonHisp,
200,8,NonHisp,
271,8,NonHisp,
224,8,NonHisp,
177,8,NonHisp,
353,8,NonHisp,
358,8,NonHisp,
208,8,NonHisp,
239,8,NonHisp,
308,4,NonHisp,
284,4,NonHisp,
300,4,NonHisp,
345,4,NonHisp,
205,4,NonHisp,
188,4,NonHisp,
268,4,NonHisp,
214,4,NonHisp,
252,4,NonHisp,
338,4,NonHisp,
276,4,NonHisp,
229,4,NonHisp,
221,4,NonHisp,
316,4,NonHisp,
307,3,NonHisp,
275,3,NonHisp,
259,3,NonHisp,
196,3,NonHisp,
346,3,NonHisp,
251,3,NonHisp,
220,3,NonHisp,
228,3,NonHisp,
235,3,NonHisp,
299,3,NonHisp,
243,3,NonHisp,
204,3,NonHisp,
315,3,NonHisp,
267,3,NonHisp,
283,3,NonHisp,
291,3,NonHisp,
213,3,NonHisp,
250,2,NonHisp,
227,2,NonHisp,
314,2,NonHisp,
282,2,NA,
290,2,NonHisp,
203,2,Hisp,
347,2,NonHisp,
298,2,NonHisp,
274,2,NonHisp,
193,2,NonHisp,
306,2,NonHisp,
266,2,NonHisp,
344,2,NonHisp,
212,2,NonHisp,
199,1,NonHisp,
206,1,NonHisp,
285,1,NonHisp,
293,1,NonHisp,
230,1,Hisp,
215,1,NonHisp,
269,1,NonHisp,
245,1,NonHisp,
309,1,NonHisp,
237,1,Hisp,
317,1,NonHisp,
301,1,NonHisp,
222,1,NonHisp,
334,1,NonHisp,
351,1,NonHisp,
185,11,NonHisp,
325,16,NonHisp,
183,16,NonHisp,
328,16,NonHisp,
322,14,NonHisp,
187,14,NonHisp,
330,14,NonHisp,
180,15,NonHisp,
320,15,NonHisp,
192,15,NonHisp,
176,9,NonHisp,
321,9,NonHisp,
197,12,NonHisp,
324,12,NonHisp,
329,12,NonHisp,
184,12,NonHisp,
273,6,NonHisp,
305,6,NonHisp,
297,6,NonHisp,
281,6,NonHisp,
289,6,NonHisp,
354,6,NonHisp,
195,6,NonHisp,
265,6,NonHisp,
313,6,NonHisp,
219,6,NonHisp,
361,6,NonHisp,
359,6,NonHisp,
343,6,NonHisp,
233,6,NonHisp,
223,7,NonHisp,
335,7,NonHisp,
207,7,NonHisp,
190,7,NonHisp,
310,7,NonHisp,
278,7,NonHisp,
286,7,NonHisp,
179,7,Hisp,
231,7,NonHisp,
246,7,NonHisp,
254,7,NonHisp,
294,7,NonHisp,
302,7,NonHisp,
262,7,NonHisp,
341,7,NonHisp,
