workerid,proliferate.condition,rsrb.raceother,error
182,10,,
318,10,,
362,5,,
240,5,,
288,5,,
272,5,,
312,5,,
209,5,,
232,5,,
264,5,,
178,5,,
342,5,,
256,5,,
201,5,,
225,5,,
304,5,,
360,5,,
217,8,,
303,8,,
255,8,,
263,8,,
331,8,,
247,8,,
200,8,,
271,8,,
224,8,,
177,8,,
353,8,,
358,8,,
208,8,,
239,8,,
308,4,,
284,4,,
300,4,,
345,4,,
205,4,,
188,4,,
268,4,,
214,4,,
252,4,,
338,4,,
276,4,,
229,4,,
221,4,,
316,4,,
307,3,,
275,3,,
259,3,,
196,3,,
346,3,,
251,3,,
220,3,,
228,3,,
235,3,,
299,3,,
243,3,,
204,3,,
315,3,,
267,3,,
283,3,,
291,3,,
213,3,,
250,2,,
227,2,,
314,2,,
282,2,,
290,2,,
203,2,,
347,2,,
298,2,,
274,2,,
193,2,,
306,2,,
266,2,,
344,2,,
212,2,,
199,1,,
206,1,,
285,1,,
293,1,,
230,1,,
215,1,,
269,1,,
245,1,,
309,1,,
237,1,mexican,
317,1,,
301,1,,
222,1,,
334,1,,
351,1,,
185,11,,
325,16,,
183,16,,
328,16,,
322,14,,
187,14,,
330,14,,
180,15,,
320,15,,
192,15,,
176,9,,
321,9,,
197,12,,
324,12,,
329,12,,
184,12,,
273,6,,
305,6,,
297,6,,
281,6,,
289,6,,
354,6,,
195,6,,
265,6,,
313,6,,
219,6,,
361,6,,
359,6,,
343,6,,
233,6,,
223,7,,
335,7,,
207,7,,
190,7,,
310,7,,
278,7,,
286,7,,
179,7,,
231,7,,
246,7,,
254,7,,
294,7,,
302,7,,
262,7,,
341,7,,
