workerid,proliferate.condition,social1,error
182,10,never,
318,10,never,
362,5,more than 10,
240,5,more than 1,
288,5,never,
272,5,never,
312,5,never,
209,5,never,
232,5,never,
264,5,never,
178,5,never,
342,5,never,
256,5,never,
201,5,never,
225,5,more than 1,
304,5,never,
360,5,never,
217,8,never,
303,8,never,
255,8,more than 1,
263,8,never,
331,8,never,
247,8,never,
200,8,never,
271,8,never,
224,8,never,
177,8,never,
353,8,more than 10,
358,8,never,
208,8,never,
239,8,never,
308,4,never,
284,4,never,
300,4,never,
345,4,more than 10,
205,4,never,
188,4,never,
268,4,never,
214,4,never,
252,4,never,
338,4,more than 1,
276,4,never,
229,4,more than 1,
221,4,more than 1,
316,4,more than 10,
307,3,never,
275,3,never,
259,3,never,
196,3,never,
346,3,never,
251,3,never,
220,3,never,
228,3,never,
235,3,more than 1,
299,3,never,
243,3,never,
204,3,more than 10,
315,3,never,
267,3,more than 1,
283,3,never,
291,3,never,
213,3,more than 1,
250,2,never,
227,2,never,
314,2,never,
282,2,never,
290,2,never,
203,2,more than 10,
347,2,never,
298,2,never,
274,2,never,
193,2,never,
306,2,never,
266,2,never,
344,2,more than 1,
212,2,never,
199,1,never,
206,1,never,
285,1,more than 10,
293,1,never,
230,1,never,
215,1,more than 10,
269,1,never,
245,1,never,
309,1,more than 1,
237,1,more than 10,
317,1,never,
301,1,never,
222,1,never,
334,1,never,
351,1,more than 10,
185,11,never,
325,16,never,
183,16,never,
328,16,never,
322,14,never,
187,14,never,
330,14,never,
180,15,never,
320,15,never,
192,15,never,
176,9,never,
321,9,more than 10,
197,12,never,
324,12,never,
329,12,never,
184,12,never,
273,6,never,
305,6,never,
297,6,never,
281,6,never,
289,6,never,
354,6,never,
195,6,never,
265,6,never,
313,6,more than 1,
219,6,never,
361,6,never,
359,6,never,
343,6,never,
233,6,never,
223,7,never,
335,7,,Field social1 not present for participant!
