workerid,proliferate.condition,ssh1,error
182,10,no,
318,10,no,
362,5,yes,
240,5,yes,
288,5,no,
272,5,no,
312,5,yes,
209,5,yes,
232,5,no,
264,5,yes,
178,5,no,
342,5,yes,
256,5,no,
201,5,no,
225,5,no,
304,5,yes,
360,5,no,
217,8,no,
303,8,no,
255,8,yes,
263,8,yes,
331,8,yes,
247,8,yes,
200,8,no,
271,8,yes,
224,8,yes,
177,8,yes,
353,8,yes,
358,8,yes,
208,8,yes,
239,8,yes,
308,4,no,
284,4,no,
300,4,yes,
345,4,yes,
205,4,no,
188,4,yes,
268,4,yes,
214,4,yes,
252,4,no,
338,4,no,
276,4,yes,
229,4,yes,
221,4,yes,
316,4,yes,
307,3,yes,
275,3,yes,
259,3,no,
196,3,yes,
346,3,yes,
251,3,no,
220,3,yes,
228,3,no,
235,3,no,
299,3,no,
243,3,yes,
204,3,no,
315,3,no,
267,3,no,
283,3,yes,
291,3,yes,
213,3,yes,
250,2,no,
227,2,yes,
314,2,yes,
282,2,yes,
290,2,no,
203,2,yes,
347,2,no,
298,2,yes,
274,2,yes,
193,2,no,
306,2,yes,
266,2,no,
344,2,yes,
212,2,no,
199,1,no,
206,1,no,
285,1,no,
293,1,no,
230,1,yes,
215,1,yes,
269,1,no,
245,1,no,
309,1,no,
237,1,yes,
317,1,yes,
301,1,no,
222,1,yes,
334,1,yes,
351,1,yes,
185,11,yes,
325,16,no,
183,16,no,
328,16,no,
322,14,no,
187,14,yes,
330,14,no,
180,15,yes,
320,15,no,
192,15,no,
176,9,no,
321,9,yes,
197,12,yes,
324,12,no,
329,12,no,
184,12,yes,
273,6,yes,
305,6,yes,
297,6,yes,
281,6,no,
289,6,yes,
354,6,no,
195,6,no,
265,6,yes,
313,6,yes,
219,6,no,
361,6,no,
359,6,no,
343,6,yes,
233,6,no,
223,7,no,
335,7,yes,
207,7,no,
190,7,yes,
310,7,no,
278,7,no,
286,7,no,
179,7,yes,
231,7,no,
246,7,no,
254,7,no,
294,7,no,
302,7,no,
262,7,no,
341,7,yes,
