workerid,proliferate.condition,userDateTime,error
182,10,"Thu, 07 Jul 2022 18:28:49 GMT",
318,10,"Thu, 28 Jul 2022 15:39:59 GMT",
362,5,"Thu, 28 Jul 2022 17:27:50 GMT",
240,5,"Thu, 28 Jul 2022 15:41:47 GMT",
288,5,"Thu, 28 Jul 2022 15:32:29 GMT",
272,5,"Thu, 28 Jul 2022 15:32:33 GMT",
312,5,"Thu, 28 Jul 2022 15:38:16 GMT",
209,5,"Thu, 28 Jul 2022 15:37:06 GMT",
232,5,"Thu, 28 Jul 2022 15:35:42 GMT",
264,5,"Thu, 28 Jul 2022 15:32:31 GMT",
178,5,"Thu, 07 Jul 2022 18:10:35 GMT",
342,5,"Thu, 28 Jul 2022 15:48:28 GMT",
256,5,"Thu, 28 Jul 2022 15:33:18 GMT",
201,5,"Thu, 28 Jul 2022 15:28:48 GMT",
225,5,"Thu, 28 Jul 2022 15:40:24 GMT",
304,5,"Thu, 28 Jul 2022 15:31:21 GMT",
360,5,"Thu, 28 Jul 2022 17:46:21 GMT",
217,8,"Thu, 28 Jul 2022 15:38:51 GMT",
303,8,"Thu, 28 Jul 2022 15:32:51 GMT",
255,8,"Thu, 28 Jul 2022 15:35:39 GMT",
263,8,"Thu, 28 Jul 2022 15:44:20 GMT",
331,8,"Thu, 28 Jul 2022 15:45:50 GMT",
247,8,"Thu, 28 Jul 2022 15:41:03 GMT",
200,8,"Thu, 28 Jul 2022 15:29:01 GMT",
271,8,"Thu, 28 Jul 2022 15:32:58 GMT",
224,8,"Thu, 28 Jul 2022 15:29:36 GMT",
177,8,"Thu, 07 Jul 2022 17:55:43 GMT",
353,8,"Thu, 28 Jul 2022 16:26:22 GMT",
358,8,"Thu, 28 Jul 2022 16:20:31 GMT",
208,8,"Thu, 28 Jul 2022 15:39:38 GMT",
239,8,"Thu, 28 Jul 2022 16:02:49 GMT",
308,4,"Thu, 28 Jul 2022 15:35:58 GMT",
284,4,"Thu, 28 Jul 2022 15:32:46 GMT",
300,4,"Thu, 28 Jul 2022 15:39:05 GMT",
345,4,"Thu, 28 Jul 2022 15:50:01 GMT",
205,4,"Thu, 28 Jul 2022 15:30:48 GMT",
188,4,"Thu, 07 Jul 2022 18:43:24 GMT",
268,4,"Thu, 28 Jul 2022 15:35:36 GMT",
214,4,"Thu, 28 Jul 2022 15:35:48 GMT",
252,4,"Thu, 28 Jul 2022 15:39:32 GMT",
338,4,"Thu, 28 Jul 2022 15:42:14 GMT",
276,4,"Thu, 28 Jul 2022 15:34:21 GMT",
229,4,"Thu, 28 Jul 2022 15:39:00 GMT",
221,4,"Thu, 28 Jul 2022 15:32:19 GMT",
316,4,"Thu, 28 Jul 2022 15:41:23 GMT",
307,3,"Thu, 28 Jul 2022 15:36:53 GMT",
275,3,"Thu, 28 Jul 2022 15:33:49 GMT",
259,3,"Thu, 28 Jul 2022 15:31:30 GMT",
196,3,"Thu, 07 Jul 2022 18:34:26 GMT",
346,3,"Thu, 28 Jul 2022 15:48:10 GMT",
251,3,"Thu, 28 Jul 2022 15:36:30 GMT",
220,3,"Thu, 28 Jul 2022 15:39:40 GMT",
228,3,"Thu, 28 Jul 2022 15:29:04 GMT",
235,3,"Thu, 28 Jul 2022 15:35:55 GMT",
299,3,"Thu, 28 Jul 2022 15:32:47 GMT",
243,3,"Thu, 28 Jul 2022 15:37:00 GMT",
204,3,"Thu, 28 Jul 2022 15:32:13 GMT",
315,3,"Thu, 28 Jul 2022 15:37:04 GMT",
267,3,"Thu, 28 Jul 2022 15:37:00 GMT",
283,3,"Thu, 28 Jul 2022 15:33:30 GMT",
291,3,"Thu, 28 Jul 2022 15:37:05 GMT",
213,3,"Thu, 28 Jul 2022 15:39:18 GMT",
250,2,"Thu, 28 Jul 2022 15:37:40 GMT",
227,2,"Thu, 28 Jul 2022 15:31:42 GMT",
314,2,"Thu, 28 Jul 2022 15:37:02 GMT",
282,2,"Thu, 28 Jul 2022 15:38:10 GMT",
290,2,"Thu, 28 Jul 2022 15:36:17 GMT",
203,2,"Thu, 28 Jul 2022 15:35:51 GMT",
347,2,"Thu, 28 Jul 2022 15:59:53 GMT",
298,2,"Thu, 28 Jul 2022 15:34:30 GMT",
274,2,"Thu, 28 Jul 2022 15:36:17 GMT",
193,2,"Thu, 07 Jul 2022 18:39:50 GMT",
306,2,"Thu, 28 Jul 2022 15:53:59 GMT",
266,2,"Thu, 28 Jul 2022 15:38:21 GMT",
344,2,"Thu, 28 Jul 2022 15:53:52 GMT",
212,2,"Thu, 28 Jul 2022 15:35:33 GMT",
199,1,"Thu, 28 Jul 2022 15:31:50 GMT",
206,1,"Thu, 28 Jul 2022 15:27:47 GMT",
285,1,"Thu, 28 Jul 2022 15:44:59 GMT",
293,1,"Thu, 28 Jul 2022 15:29:21 GMT",
230,1,"Thu, 28 Jul 2022 15:45:05 GMT",
215,1,"Thu, 28 Jul 2022 15:27:33 GMT",
269,1,"Thu, 28 Jul 2022 15:31:25 GMT",
245,1,"Thu, 28 Jul 2022 15:40:55 GMT",
309,1,"Thu, 28 Jul 2022 15:36:56 GMT",
237,1,"Thu, 28 Jul 2022 15:36:09 GMT",
317,1,"Thu, 28 Jul 2022 15:38:20 GMT",
301,1,"Thu, 28 Jul 2022 15:40:25 GMT",
222,1,"Thu, 28 Jul 2022 15:40:47 GMT",
334,1,"Thu, 28 Jul 2022 15:43:39 GMT",
351,1,"Thu, 28 Jul 2022 15:54:48 GMT",
185,11,"Thu, 07 Jul 2022 18:47:36 GMT",
325,16,"Thu, 28 Jul 2022 15:34:51 GMT",
183,16,"Thu, 07 Jul 2022 18:14:22 GMT",
328,16,"Thu, 28 Jul 2022 15:39:07 GMT",
322,14,"Thu, 28 Jul 2022 15:35:57 GMT",
187,14,"Thu, 07 Jul 2022 18:19:38 GMT",
330,14,"Thu, 28 Jul 2022 15:40:36 GMT",
180,15,"Thu, 07 Jul 2022 18:26:32 GMT",
320,15,"Thu, 28 Jul 2022 15:37:34 GMT",
192,15,"Thu, 07 Jul 2022 18:27:05 GMT",
176,9,"Thu, 07 Jul 2022 18:50:10 GMT",
321,9,"Thu, 28 Jul 2022 15:46:58 GMT",
197,12,"Thu, 07 Jul 2022 19:01:32 GMT",
324,12,"Thu, 28 Jul 2022 15:48:05 GMT",
329,12,"Thu, 28 Jul 2022 15:34:35 GMT",
184,12,"Thu, 07 Jul 2022 19:00:57 GMT",
273,6,"Thu, 28 Jul 2022 15:32:07 GMT",
305,6,"Thu, 28 Jul 2022 15:34:33 GMT",
297,6,"Thu, 28 Jul 2022 15:33:11 GMT",
281,6,"Thu, 28 Jul 2022 15:34:36 GMT",
289,6,"Thu, 28 Jul 2022 15:39:56 GMT",
354,6,"Thu, 28 Jul 2022 15:53:00 GMT",
195,6,"Thu, 07 Jul 2022 18:43:19 GMT",
265,6,"Thu, 28 Jul 2022 15:31:02 GMT",
313,6,"Thu, 28 Jul 2022 15:40:58 GMT",
219,6,"Thu, 28 Jul 2022 15:29:43 GMT",
361,6,"Thu, 28 Jul 2022 16:48:40 GMT",
359,6,"Thu, 28 Jul 2022 16:19:38 GMT",
343,6,"Thu, 28 Jul 2022 15:59:03 GMT",
233,6,"Thu, 28 Jul 2022 15:45:26 GMT",
223,7,"Thu, 28 Jul 2022 15:30:01 GMT",
335,7,"Thu, 28 Jul 2022 15:49:03 GMT",
207,7,"Thu, 28 Jul 2022 15:36:37 GMT",
190,7,"Thu, 07 Jul 2022 18:25:38 GMT",
310,7,"Thu, 28 Jul 2022 15:38:23 GMT",
278,7,"Thu, 28 Jul 2022 15:34:20 GMT",
286,7,"Thu, 28 Jul 2022 15:38:05 GMT",
179,7,"Thu, 07 Jul 2022 18:20:43 GMT",
231,7,"Thu, 28 Jul 2022 15:36:22 GMT",
246,7,"Thu, 28 Jul 2022 15:36:11 GMT",
254,7,"Thu, 28 Jul 2022 15:33:35 GMT",
294,7,"Thu, 28 Jul 2022 15:40:03 GMT",
302,7,"Thu, 28 Jul 2022 15:29:53 GMT",
262,7,"Thu, 28 Jul 2022 15:35:52 GMT",
341,7,"Thu, 28 Jul 2022 15:46:11 GMT",
